item_id,order_id,product_id,quantity,unit_price,unit_cost,line_subtotal,line_cost
ITEM-0000037,ORD-000021,301,1,289.0,130.0,289.0,130.0
ITEM-0000038,ORD-000022,103,1,89.99,36.0,89.99,36.0
ITEM-0000039,ORD-000022,505,1,75.0,24.0,75.0,24.0
ITEM-0000040,ORD-000022,301,1,289.0,130.0,289.0,130.0
ITEM-0000041,ORD-000023,503,2,48.0,15.0,96.0,30.0
ITEM-0000042,ORD-000023,502,1,22.99,5.5,22.99,5.5
ITEM-0000043,ORD-000023,301,1,289.0,130.0,289.0,130.0
ITEM-0000044,ORD-000023,204,1,24.0,6.0,24.0,6.0
ITEM-0000045,ORD-000024,103,3,89.99,36.0,269.97,108.0
ITEM-0000046,ORD-000025,101,1,199.99,85.0,199.99,85.0
ITEM-0000047,ORD-000026,306,1,32.5,10.0,32.5,10.0
ITEM-0000048,ORD-000027,206,1,45.0,11.0,45.0,11.0
ITEM-0000049,ORD-000028,205,1,54.0,16.0,54.0,16.0
ITEM-0000050,ORD-000028,305,1,59.99,20.0,59.99,20.0
ITEM-0000051,ORD-000028,107,1,59.99,22.0,59.99,22.0
ITEM-0000052,ORD-000028,103,1,89.99,36.0,89.99,36.0
ITEM-0000053,ORD-000029,108,1,29.99,9.5,29.99,9.5
ITEM-0000054,ORD-000030,205,2,54.0,16.0,108.0,32.0
ITEM-0000055,ORD-000030,305,1,59.99,20.0,59.99,20.0
ITEM-0000056,ORD-000030,501,1,42.0,13.0,42.0,13.0
ITEM-0000057,ORD-000031,201,2,28.0,8.5,56.0,17.0
ITEM-0000058,ORD-000031,405,1,18.0,4.0,18.0,4.0
ITEM-0000059,ORD-000031,105,1,39.99,12.0,39.99,12.0
ITEM-0000060,ORD-000031,204,1,24.0,6.0,24.0,6.0
ITEM-0000061,ORD-000032,101,1,199.99,85.0,199.99,85.0
ITEM-0000062,ORD-000032,502,1,22.99,5.5,22.99,5.5
ITEM-0000063,ORD-000033,402,1,34.0,8.5,34.0,8.5
ITEM-0000064,ORD-000033,305,1,59.99,20.0,59.99,20.0
ITEM-0000065,ORD-000034,101,2,199.99,85.0,399.98,170.0
ITEM-0000066,ORD-000035,106,1,179.99,70.0,179.99,70.0
ITEM-0000067,ORD-000036,205,1,54.0,16.0,54.0,16.0
ITEM-0000068,ORD-000036,204,1,24.0,6.0,24.0,6.0
ITEM-0000069,ORD-000036,304,1,39.99,14.0,39.99,14.0
ITEM-0000070,ORD-000037,102,1,49.99,18.0,49.99,18.0
ITEM-0000071,ORD-000038,402,1,34.0,8.5,34.0,8.5
ITEM-0000072,ORD-000039,203,1,120.0,42.0,120.0,42.0
ITEM-0000073,ORD-000040,103,1,89.99,36.0,89.99,36.0
ITEM-0000074,ORD-000040,105,1,39.99,12.0,39.99,12.0
ITEM-0000075,ORD-000040,205,1,54.0,16.0,54.0,16.0
ITEM-0000076,ORD-000040,504,1,16.99,4.2,16.99,4.2
ITEM-0000077,ORD-000041,306,1,32.5,10.0,32.5,10.0
ITEM-0000078,ORD-000041,501,1,42.0,13.0,42.0,13.0
ITEM-0000079,ORD-000042,303,1,24.99,7.5,24.99,7.5
ITEM-0000080,ORD-000043,107,1,59.99,22.0,59.99,22.0
ITEM-0000081,ORD-000043,307,1,29.99,8.0,29.99,8.0
ITEM-0000082,ORD-000044,107,1,59.99,22.0,59.99,22.0
ITEM-0000083,ORD-000045,405,1,18.0,4.0,18.0,4.0
ITEM-0000084,ORD-000045,201,1,28.0,8.5,28.0,8.5
ITEM-0000085,ORD-000045,101,2,199.99,85.0,399.98,170.0
ITEM-0000086,ORD-000046,405,1,18.0,4.0,18.0,4.0
ITEM-0000087,ORD-000047,201,3,28.0,8.5,84.0,25.5
ITEM-0000088,ORD-000047,304,1,39.99,14.0,39.99,14.0
ITEM-0000089,ORD-000047,205,1,54.0,16.0,54.0,16.0
ITEM-0000090,ORD-000048,404,1,64.99,21.0,64.99,21.0
ITEM-0000091,ORD-000048,301,1,289.0,130.0,289.0,130.0
ITEM-0000092,ORD-000049,103,1,89.99,36.0,89.99,36.0
ITEM-0000093,ORD-000050,505,1,75.0,24.0,75.0,24.0
ITEM-0000094,ORD-000051,405,1,18.0,4.0,18.0,4.0
ITEM-0000095,ORD-000051,403,1,22.0,5.2,22.0,5.2
ITEM-0000096,ORD-000052,304,1,39.99,14.0,39.99,14.0
ITEM-0000097,ORD-000053,304,1,39.99,14.0,39.99,14.0
ITEM-0000098,ORD-000054,502,1,22.99,5.5,22.99,5.5
ITEM-0000099,ORD-000055,403,2,22.0,5.2,44.0,10.4
ITEM-0000100,ORD-000056,301,2,289.0,130.0,578.0,260.0
ITEM-0000101,ORD-000056,302,1,45.0,15.0,45.0,15.0
ITEM-0000102,ORD-000056,107,1,59.99,22.0,59.99,22.0
ITEM-0000103,ORD-000056,303,1,24.99,7.5,24.99,7.5
ITEM-0000104,ORD-000057,502,1,22.99,5.5,22.99,5.5
ITEM-0000105,ORD-000058,202,1,68.0,22.0,68.0,22.0
ITEM-0000106,ORD-000059,108,1,29.99,9.5,29.99,9.5
ITEM-0000107,ORD-000060,501,1,42.0,13.0,42.0,13.0
ITEM-0000108,ORD-000060,502,1,22.99,5.5,22.99,5.5
ITEM-0000109,ORD-000060,403,1,22.0,5.2,22.0,5.2
ITEM-0000110,ORD-000061,103,1,89.99,36.0,89.99,36.0
ITEM-0000111,ORD-000062,306,1,32.5,10.0,32.5,10.0
ITEM-0000112,ORD-000063,301,1,289.0,130.0,289.0,130.0
ITEM-0000113,ORD-000063,204,1,24.0,6.0,24.0,6.0
ITEM-0000114,ORD-000063,104,1,349.99,175.0,349.99,175.0
ITEM-0000115,ORD-000063,202,1,68.0,22.0,68.0,22.0
ITEM-0000116,ORD-000064,202,1,68.0,22.0,68.0,22.0
ITEM-0000117,ORD-000064,505,1,75.0,24.0,75.0,24.0
ITEM-0000118,ORD-000064,304,1,39.99,14.0,39.99,14.0
ITEM-0000119,ORD-000065,403,1,22.0,5.2,22.0,5.2
ITEM-0000120,ORD-000065,105,2,39.99,12.0,79.98,24.0
ITEM-0000121,ORD-000065,504,1,16.99,4.2,16.99,4.2
ITEM-0000122,ORD-000065,203,1,120.0,42.0,120.0,42.0
ITEM-0000123,ORD-000066,501,1,42.0,13.0,42.0,13.0
ITEM-0000124,ORD-000066,502,1,22.99,5.5,22.99,5.5
ITEM-0000125,ORD-000067,204,2,24.0,6.0,48.0,12.0
ITEM-0000126,ORD-000067,403,1,22.0,5.2,22.0,5.2
ITEM-0000127,ORD-000068,103,3,89.99,36.0,269.97,108.0
ITEM-0000128,ORD-000069,304,1,39.99,14.0,39.99,14.0
ITEM-0000129,ORD-000070,106,1,179.99,70.0,179.99,70.0
ITEM-0000130,ORD-000071,304,1,39.99,14.0,39.99,14.0
ITEM-0000131,ORD-000071,403,1,22.0,5.2,22.0,5.2
ITEM-0000132,ORD-000071,503,1,48.0,15.0,48.0,15.0
ITEM-0000133,ORD-000071,102,1,49.99,18.0,49.99,18.0
ITEM-0000134,ORD-000072,102,1,49.99,18.0,49.99,18.0
ITEM-0000135,ORD-000072,504,1,16.99,4.2,16.99,4.2
ITEM-0000136,ORD-000072,302,1,45.0,15.0,45.0,15.0
ITEM-0000137,ORD-000073,304,1,39.99,14.0,39.99,14.0
ITEM-0000138,ORD-000074,307,1,29.99,8.0,29.99,8.0
ITEM-0000139,ORD-000075,502,1,22.99,5.5,22.99,5.5
ITEM-0000140,ORD-000076,502,1,22.99,5.5,22.99,5.5
ITEM-0000141,ORD-000076,107,3,59.99,22.0,179.97,66.0
ITEM-0000142,ORD-000076,101,1,199.99,85.0,199.99,85.0
ITEM-0000143,ORD-000076,503,1,48.0,15.0,48.0,15.0
ITEM-0000144,ORD-000077,201,1,28.0,8.5,28.0,8.5
ITEM-0000145,ORD-000077,505,1,75.0,24.0,75.0,24.0
ITEM-0000146,ORD-000077,108,1,29.99,9.5,29.99,9.5
ITEM-0000147,ORD-000078,504,1,16.99,4.2,16.99,4.2
ITEM-0000148,ORD-000078,304,1,39.99,14.0,39.99,14.0
ITEM-0000149,ORD-000079,204,1,24.0,6.0,24.0,6.0
ITEM-0000150,ORD-000079,403,1,22.0,5.2,22.0,5.2
ITEM-0000151,ORD-000079,205,1,54.0,16.0,54.0,16.0
ITEM-0000152,ORD-000079,302,1,45.0,15.0,45.0,15.0
ITEM-0000153,ORD-000080,303,1,24.99,7.5,24.99,7.5
ITEM-0000154,ORD-000081,106,1,179.99,70.0,179.99,70.0
ITEM-0000155,ORD-000081,401,1,26.0,6.0,26.0,6.0
ITEM-0000156,ORD-000082,403,3,22.0,5.2,66.0,15.6
ITEM-0000157,ORD-000083,504,1,16.99,4.2,16.99,4.2
ITEM-0000158,ORD-000083,503,1,48.0,15.0,48.0,15.0
ITEM-0000159,ORD-000084,206,1,45.0,11.0,45.0,11.0
ITEM-0000160,ORD-000084,505,1,75.0,24.0,75.0,24.0
ITEM-0000161,ORD-000085,405,1,18.0,4.0,18.0,4.0
ITEM-0000162,ORD-000085,105,1,39.99,12.0,39.99,12.0
ITEM-0000163,ORD-000085,302,1,45.0,15.0,45.0,15.0
ITEM-0000164,ORD-000086,101,1,199.99,85.0,199.99,85.0
ITEM-0000165,ORD-000086,107,1,59.99,22.0,59.99,22.0
ITEM-0000166,ORD-000087,503,1,48.0,15.0,48.0,15.0
ITEM-0000167,ORD-000088,206,1,45.0,11.0,45.0,11.0
ITEM-0000168,ORD-000089,503,2,48.0,15.0,96.0,30.0
ITEM-0000169,ORD-000090,303,1,24.99,7.5,24.99,7.5
ITEM-0000170,ORD-000090,404,1,64.99,21.0,64.99,21.0
ITEM-0000171,ORD-000091,405,1,18.0,4.0,18.0,4.0
ITEM-0000172,ORD-000091,402,1,34.0,8.5,34.0,8.5
ITEM-0000173,ORD-000092,304,1,39.99,14.0,39.99,14.0
ITEM-0000174,ORD-000092,305,1,59.99,20.0,59.99,20.0
ITEM-0000175,ORD-000093,104,1,349.99,175.0,349.99,175.0
ITEM-0000176,ORD-000093,102,1,49.99,18.0,49.99,18.0
ITEM-0000177,ORD-000094,101,1,199.99,85.0,199.99,85.0
ITEM-0000178,ORD-000095,505,1,75.0,24.0,75.0,24.0
ITEM-0000179,ORD-000096,402,1,34.0,8.5,34.0,8.5
ITEM-0000180,ORD-000097,101,1,199.99,85.0,199.99,85.0
ITEM-0000181,ORD-000098,101,1,199.99,85.0,199.99,85.0
ITEM-0000182,ORD-000099,303,1,24.99,7.5,24.99,7.5
ITEM-0000183,ORD-000100,304,1,39.99,14.0,39.99,14.0
ITEM-0000184,ORD-000100,201,1,28.0,8.5,28.0,8.5
ITEM-0000185,ORD-000101,302,2,45.0,15.0,90.0,30.0
ITEM-0000186,ORD-000102,405,1,18.0,4.0,18.0,4.0
ITEM-0000187,ORD-000103,307,1,29.99,8.0,29.99,8.0
ITEM-0000188,ORD-000104,303,1,24.99,7.5,24.99,7.5
ITEM-0000189,ORD-000105,405,1,18.0,4.0,18.0,4.0
ITEM-0000190,ORD-000105,203,2,120.0,42.0,240.0,84.0
ITEM-0000191,ORD-000105,105,2,39.99,12.0,79.98,24.0
ITEM-0000192,ORD-000106,302,1,45.0,15.0,45.0,15.0
ITEM-0000193,ORD-000107,502,1,22.99,5.5,22.99,5.5
ITEM-0000194,ORD-000108,303,2,24.99,7.5,49.98,15.0
ITEM-0000195,ORD-000109,302,1,45.0,15.0,45.0,15.0
ITEM-0000196,ORD-000110,101,1,199.99,85.0,199.99,85.0
ITEM-0000197,ORD-000111,205,1,54.0,16.0,54.0,16.0
ITEM-0000198,ORD-000111,102,1,49.99,18.0,49.99,18.0
ITEM-0000199,ORD-000111,104,1,349.99,175.0,349.99,175.0
ITEM-0000200,ORD-000111,302,2,45.0,15.0,90.0,30.0
ITEM-0000201,ORD-000112,402,1,34.0,8.5,34.0,8.5
ITEM-0000202,ORD-000112,302,1,45.0,15.0,45.0,15.0
ITEM-0000203,ORD-000113,106,1,179.99,70.0,179.99,70.0
ITEM-0000204,ORD-000114,103,1,89.99,36.0,89.99,36.0
ITEM-0000205,ORD-000114,203,1,120.0,42.0,120.0,42.0
ITEM-0000206,ORD-000114,301,1,289.0,130.0,289.0,130.0
ITEM-0000207,ORD-000115,201,1,28.0,8.5,28.0,8.5
ITEM-0000208,ORD-000115,503,1,48.0,15.0,48.0,15.0
ITEM-0000209,ORD-000116,108,3,29.99,9.5,89.97,28.5
ITEM-0000210,ORD-000116,205,1,54.0,16.0,54.0,16.0
ITEM-0000211,ORD-000117,404,1,64.99,21.0,64.99,21.0
ITEM-0000212,ORD-000117,501,1,42.0,13.0,42.0,13.0
ITEM-0000213,ORD-000118,108,1,29.99,9.5,29.99,9.5
ITEM-0000214,ORD-000119,305,1,59.99,20.0,59.99,20.0
ITEM-0000215,ORD-000120,304,2,39.99,14.0,79.98,28.0
ITEM-0000216,ORD-000121,503,1,48.0,15.0,48.0,15.0
ITEM-0000217,ORD-000122,405,1,18.0,4.0,18.0,4.0
ITEM-0000218,ORD-000123,304,1,39.99,14.0,39.99,14.0
ITEM-0000219,ORD-000123,104,1,349.99,175.0,349.99,175.0
ITEM-0000220,ORD-000124,503,1,48.0,15.0,48.0,15.0
ITEM-0000221,ORD-000124,307,1,29.99,8.0,29.99,8.0
ITEM-0000222,ORD-000125,504,1,16.99,4.2,16.99,4.2
ITEM-0000223,ORD-000125,107,1,59.99,22.0,59.99,22.0
ITEM-0000224,ORD-000126,103,1,89.99,36.0,89.99,36.0
ITEM-0000225,ORD-000126,405,1,18.0,4.0,18.0,4.0
ITEM-0000226,ORD-000127,405,1,18.0,4.0,18.0,4.0
ITEM-0000227,ORD-000128,303,1,24.99,7.5,24.99,7.5
ITEM-0000228,ORD-000128,307,3,29.99,8.0,89.97,24.0
ITEM-0000229,ORD-000129,404,1,64.99,21.0,64.99,21.0
ITEM-0000230,ORD-000129,108,2,29.99,9.5,59.98,19.0
ITEM-0000231,ORD-000130,202,1,68.0,22.0,68.0,22.0
ITEM-0000232,ORD-000131,307,1,29.99,8.0,29.99,8.0
ITEM-0000233,ORD-000131,101,2,199.99,85.0,399.98,170.0
ITEM-0000234,ORD-000132,404,1,64.99,21.0,64.99,21.0
ITEM-0000235,ORD-000132,101,2,199.99,85.0,399.98,170.0
ITEM-0000236,ORD-000132,405,1,18.0,4.0,18.0,4.0
ITEM-0000237,ORD-000133,504,1,16.99,4.2,16.99,4.2
ITEM-0000238,ORD-000134,204,1,24.0,6.0,24.0,6.0
ITEM-0000239,ORD-000135,203,1,120.0,42.0,120.0,42.0
ITEM-0000240,ORD-000135,305,1,59.99,20.0,59.99,20.0
ITEM-0000241,ORD-000136,301,1,289.0,130.0,289.0,130.0
ITEM-0000242,ORD-000137,306,1,32.5,10.0,32.5,10.0
ITEM-0000243,ORD-000138,401,1,26.0,6.0,26.0,6.0
ITEM-0000244,ORD-000139,502,2,22.99,5.5,45.98,11.0
ITEM-0000245,ORD-000140,203,1,120.0,42.0,120.0,42.0
ITEM-0000246,ORD-000141,403,1,22.0,5.2,22.0,5.2
ITEM-0000247,ORD-000142,107,1,59.99,22.0,59.99,22.0
ITEM-0000248,ORD-000142,302,1,45.0,15.0,45.0,15.0
ITEM-0000249,ORD-000143,108,1,29.99,9.5,29.99,9.5
ITEM-0000250,ORD-000144,404,1,64.99,21.0,64.99,21.0
ITEM-0000251,ORD-000145,306,1,32.5,10.0,32.5,10.0
ITEM-0000252,ORD-000146,404,1,64.99,21.0,64.99,21.0
ITEM-0000253,ORD-000146,102,1,49.99,18.0,49.99,18.0
ITEM-0000254,ORD-000147,401,2,26.0,6.0,52.0,12.0
ITEM-0000255,ORD-000147,402,2,34.0,8.5,68.0,17.0
ITEM-0000256,ORD-000148,106,1,179.99,70.0,179.99,70.0
ITEM-0000257,ORD-000149,202,1,68.0,22.0,68.0,22.0
ITEM-0000258,ORD-000149,405,1,18.0,4.0,18.0,4.0
ITEM-0000259,ORD-000150,108,1,29.99,9.5,29.99,9.5
ITEM-0000260,ORD-000150,306,3,32.5,10.0,97.5,30.0
ITEM-0000261,ORD-000150,401,1,26.0,6.0,26.0,6.0
ITEM-0000262,ORD-000150,501,2,42.0,13.0,84.0,26.0
ITEM-0000263,ORD-000151,203,1,120.0,42.0,120.0,42.0
ITEM-0000264,ORD-000151,404,1,64.99,21.0,64.99,21.0
ITEM-0000265,ORD-000151,301,2,289.0,130.0,578.0,260.0
ITEM-0000266,ORD-000152,105,1,39.99,12.0,39.99,12.0
ITEM-0000267,ORD-000153,303,1,24.99,7.5,24.99,7.5
ITEM-0000268,ORD-000154,301,1,289.0,130.0,289.0,130.0
ITEM-0000269,ORD-000155,303,1,24.99,7.5,24.99,7.5
ITEM-0000270,ORD-000155,305,2,59.99,20.0,119.98,40.0
ITEM-0000271,ORD-000156,202,1,68.0,22.0,68.0,22.0
ITEM-0000272,ORD-000156,504,1,16.99,4.2,16.99,4.2
ITEM-0000273,ORD-000156,107,2,59.99,22.0,119.98,44.0
ITEM-0000274,ORD-000157,402,1,34.0,8.5,34.0,8.5
ITEM-0000275,ORD-000158,205,2,54.0,16.0,108.0,32.0
ITEM-0000276,ORD-000158,501,1,42.0,13.0,42.0,13.0
ITEM-0000277,ORD-000159,301,1,289.0,130.0,289.0,130.0
ITEM-0000278,ORD-000160,205,1,54.0,16.0,54.0,16.0
ITEM-0000279,ORD-000160,401,1,26.0,6.0,26.0,6.0
ITEM-0000280,ORD-000161,101,2,199.99,85.0,399.98,170.0
ITEM-0000281,ORD-000161,108,1,29.99,9.5,29.99,9.5
ITEM-0000282,ORD-000162,101,1,199.99,85.0,199.99,85.0
ITEM-0000283,ORD-000162,107,1,59.99,22.0,59.99,22.0
ITEM-0000284,ORD-000163,108,1,29.99,9.5,29.99,9.5
ITEM-0000285,ORD-000164,504,1,16.99,4.2,16.99,4.2
ITEM-0000286,ORD-000164,101,1,199.99,85.0,199.99,85.0
ITEM-0000287,ORD-000164,503,1,48.0,15.0,48.0,15.0
ITEM-0000288,ORD-000164,403,1,22.0,5.2,22.0,5.2
ITEM-0000289,ORD-000165,107,1,59.99,22.0,59.99,22.0
ITEM-0000290,ORD-000165,104,1,349.99,175.0,349.99,175.0
ITEM-0000291,ORD-000166,102,2,49.99,18.0,99.98,36.0
ITEM-0000292,ORD-000167,103,1,89.99,36.0,89.99,36.0
ITEM-0000293,ORD-000168,502,1,22.99,5.5,22.99,5.5
ITEM-0000294,ORD-000169,307,1,29.99,8.0,29.99,8.0
ITEM-0000295,ORD-000169,101,1,199.99,85.0,199.99,85.0
ITEM-0000296,ORD-000169,107,1,59.99,22.0,59.99,22.0
ITEM-0000297,ORD-000170,202,1,68.0,22.0,68.0,22.0
ITEM-0000298,ORD-000170,103,1,89.99,36.0,89.99,36.0
ITEM-0000299,ORD-000171,405,1,18.0,4.0,18.0,4.0
ITEM-0000300,ORD-000171,503,1,48.0,15.0,48.0,15.0
ITEM-0000301,ORD-000172,205,2,54.0,16.0,108.0,32.0
ITEM-0000302,ORD-000172,105,1,39.99,12.0,39.99,12.0
ITEM-0000303,ORD-000172,206,1,45.0,11.0,45.0,11.0
ITEM-0000304,ORD-000173,105,1,39.99,12.0,39.99,12.0
ITEM-0000305,ORD-000174,202,1,68.0,22.0,68.0,22.0
ITEM-0000306,ORD-000174,306,1,32.5,10.0,32.5,10.0
ITEM-0000307,ORD-000174,404,1,64.99,21.0,64.99,21.0
ITEM-0000308,ORD-000174,501,1,42.0,13.0,42.0,13.0
ITEM-0000309,ORD-000175,203,1,120.0,42.0,120.0,42.0
ITEM-0000310,ORD-000176,103,1,89.99,36.0,89.99,36.0
ITEM-0000311,ORD-000176,306,1,32.5,10.0,32.5,10.0
ITEM-0000312,ORD-000177,303,2,24.99,7.5,49.98,15.0
ITEM-0000313,ORD-000177,105,1,39.99,12.0,39.99,12.0
ITEM-0000314,ORD-000178,306,1,32.5,10.0,32.5,10.0
ITEM-0000315,ORD-000179,304,1,39.99,14.0,39.99,14.0
ITEM-0000316,ORD-000179,203,1,120.0,42.0,120.0,42.0
ITEM-0000317,ORD-000180,206,1,45.0,11.0,45.0,11.0
ITEM-0000318,ORD-000181,201,1,28.0,8.5,28.0,8.5
ITEM-0000319,ORD-000182,306,1,32.5,10.0,32.5,10.0
ITEM-0000320,ORD-000183,103,1,89.99,36.0,89.99,36.0
ITEM-0000321,ORD-000183,505,1,75.0,24.0,75.0,24.0
ITEM-0000322,ORD-000183,107,2,59.99,22.0,119.98,44.0
ITEM-0000323,ORD-000183,303,1,24.99,7.5,24.99,7.5
ITEM-0000324,ORD-000184,503,1,48.0,15.0,48.0,15.0
ITEM-0000325,ORD-000184,304,1,39.99,14.0,39.99,14.0
ITEM-0000326,ORD-000185,301,1,289.0,130.0,289.0,130.0
ITEM-0000327,ORD-000185,302,1,45.0,15.0,45.0,15.0
ITEM-0000328,ORD-000186,404,1,64.99,21.0,64.99,21.0
ITEM-0000329,ORD-000187,301,1,289.0,130.0,289.0,130.0
ITEM-0000330,ORD-000188,503,1,48.0,15.0,48.0,15.0
ITEM-0000331,ORD-000188,404,1,64.99,21.0,64.99,21.0
ITEM-0000332,ORD-000189,405,1,18.0,4.0,18.0,4.0
ITEM-0000333,ORD-000190,301,1,289.0,130.0,289.0,130.0
ITEM-0000334,ORD-000191,501,2,42.0,13.0,84.0,26.0
ITEM-0000335,ORD-000192,502,1,22.99,5.5,22.99,5.5
ITEM-0000336,ORD-000193,201,1,28.0,8.5,28.0,8.5
ITEM-0000337,ORD-000193,505,1,75.0,24.0,75.0,24.0
ITEM-0000338,ORD-000194,101,1,199.99,85.0,199.99,85.0
ITEM-0000339,ORD-000195,204,1,24.0,6.0,24.0,6.0
ITEM-0000340,ORD-000195,402,1,34.0,8.5,34.0,8.5
ITEM-0000341,ORD-000196,202,1,68.0,22.0,68.0,22.0
ITEM-0000342,ORD-000196,404,1,64.99,21.0,64.99,21.0
ITEM-0000343,ORD-000197,503,1,48.0,15.0,48.0,15.0
ITEM-0000344,ORD-000198,301,1,289.0,130.0,289.0,130.0
ITEM-0000345,ORD-000198,303,2,24.99,7.5,49.98,15.0
ITEM-0000346,ORD-000199,307,1,29.99,8.0,29.99,8.0
ITEM-0000347,ORD-000199,404,1,64.99,21.0,64.99,21.0
ITEM-0000348,ORD-000199,303,1,24.99,7.5,24.99,7.5
ITEM-0000349,ORD-000199,206,1,45.0,11.0,45.0,11.0
ITEM-0000350,ORD-000200,401,1,26.0,6.0,26.0,6.0
ITEM-0000351,ORD-000201,202,2,68.0,22.0,136.0,44.0
ITEM-0000352,ORD-000202,206,1,45.0,11.0,45.0,11.0
ITEM-0000353,ORD-000203,303,2,24.99,7.5,49.98,15.0
ITEM-0000354,ORD-000203,402,1,34.0,8.5,34.0,8.5
ITEM-0000355,ORD-000204,305,1,59.99,20.0,59.99,20.0
ITEM-0000356,ORD-000204,405,2,18.0,4.0,36.0,8.0
ITEM-0000357,ORD-000205,504,1,16.99,4.2,16.99,4.2
ITEM-0000358,ORD-000205,307,1,29.99,8.0,29.99,8.0
ITEM-0000359,ORD-000206,107,2,59.99,22.0,119.98,44.0
ITEM-0000360,ORD-000206,304,1,39.99,14.0,39.99,14.0
ITEM-0000361,ORD-000206,405,1,18.0,4.0,18.0,4.0
ITEM-0000362,ORD-000206,404,1,64.99,21.0,64.99,21.0
ITEM-0000363,ORD-000207,303,1,24.99,7.5,24.99,7.5
ITEM-0000364,ORD-000207,504,1,16.99,4.2,16.99,4.2
ITEM-0000365,ORD-000207,206,1,45.0,11.0,45.0,11.0
ITEM-0000366,ORD-000207,104,1,349.99,175.0,349.99,175.0
ITEM-0000367,ORD-000208,306,1,32.5,10.0,32.5,10.0
ITEM-0000368,ORD-000209,203,1,120.0,42.0,120.0,42.0
ITEM-0000369,ORD-000209,307,2,29.99,8.0,59.98,16.0
ITEM-0000370,ORD-000210,306,1,32.5,10.0,32.5,10.0
ITEM-0000371,ORD-000211,204,1,24.0,6.0,24.0,6.0
ITEM-0000372,ORD-000211,102,1,49.99,18.0,49.99,18.0
ITEM-0000373,ORD-000212,102,1,49.99,18.0,49.99,18.0
ITEM-0000374,ORD-000213,102,2,49.99,18.0,99.98,36.0
ITEM-0000375,ORD-000213,108,1,29.99,9.5,29.99,9.5
ITEM-0000376,ORD-000214,502,1,22.99,5.5,22.99,5.5
ITEM-0000377,ORD-000215,405,1,18.0,4.0,18.0,4.0
ITEM-0000378,ORD-000215,105,1,39.99,12.0,39.99,12.0
ITEM-0000379,ORD-000215,404,2,64.99,21.0,129.98,42.0
ITEM-0000380,ORD-000215,501,1,42.0,13.0,42.0,13.0
ITEM-0000381,ORD-000216,402,1,34.0,8.5,34.0,8.5
ITEM-0000382,ORD-000216,403,1,22.0,5.2,22.0,5.2
ITEM-0000383,ORD-000217,307,1,29.99,8.0,29.99,8.0
ITEM-0000384,ORD-000218,203,1,120.0,42.0,120.0,42.0
ITEM-0000385,ORD-000219,303,1,24.99,7.5,24.99,7.5
ITEM-0000386,ORD-000219,107,1,59.99,22.0,59.99,22.0
