order_id,customer_id,order_date,order_date_only,order_status,payment_method,subtotal,discount_amount,shipping_fee,total_amount,total_cost,gross_profit,order_sequence
ORD-000038,CUST-00015,2025-02-26 00:00:00,2025-02-26,Completed,PayPal,34.0,0.0,0.0,34.0,8.5,25.5,4
ORD-000039,CUST-00015,2025-03-26 00:00:00,2025-03-26,Completed,Credit Card,120.0,18.0,0.0,102.0,42.0,60.0,5
ORD-000040,CUST-00016,2025-04-23 00:00:00,2025-04-23,Completed,PayPal,200.97,0.0,0.0,200.97,68.2,132.77,1
ORD-000041,CUST-00017,2024-11-20 00:00:00,2024-11-20,Returned,Buy Now Pay Later,74.5,14.9,4.99,64.59,23.0,36.6,1
ORD-000042,CUST-00018,2025-02-11 00:00:00,2025-02-11,Completed,Debit Card,24.99,0.0,0.0,24.99,7.5,17.49,1
ORD-000043,CUST-00018,2025-03-27 00:00:00,2025-03-27,Completed,Buy Now Pay Later,89.98,4.5,0.0,85.48,30.0,55.48,2
ORD-000044,CUST-00018,2025-04-30 00:00:00,2025-04-30,Completed,Credit Card,59.99,0.0,0.0,59.99,22.0,37.99,3
ORD-000045,CUST-00018,2025-06-25 00:00:00,2025-06-25,Completed,PayPal,445.98,0.0,0.0,445.98,182.5,263.48,4
ORD-000046,CUST-00018,2025-08-01 00:00:00,2025-08-01,Completed,Buy Now Pay Later,18.0,0.0,4.99,22.99,4.0,14.0,5
ORD-000047,CUST-00018,2025-10-11 00:00:00,2025-10-11,Completed,Credit Card,177.99,0.0,0.0,177.99,55.5,122.49,6
ORD-000048,CUST-00019,2024-01-29 00:00:00,2024-01-29,Completed,Credit Card,353.99,0.0,0.0,353.99,151.0,202.99,1
ORD-000049,CUST-00020,2025-03-01 00:00:00,2025-03-01,Completed,Credit Card,89.99,0.0,0.0,89.99,36.0,53.99,1
ORD-000050,CUST-00021,2025-01-13 00:00:00,2025-01-13,Completed,PayPal,75.0,0.0,0.0,75.0,24.0,51.0,1
ORD-000051,CUST-00021,2025-03-29 00:00:00,2025-03-29,Completed,PayPal,40.0,0.0,0.0,40.0,9.2,30.8,2
ORD-000052,CUST-00021,2025-04-25 00:00:00,2025-04-25,Completed,Credit Card,39.99,0.0,0.0,39.99,14.0,25.99,3
ORD-000053,CUST-00022,2024-05-27 00:00:00,2024-05-27,Completed,Credit Card,39.99,2.0,0.0,37.99,14.0,23.99,1
ORD-000054,CUST-00022,2024-07-12 00:00:00,2024-07-12,Completed,PayPal,22.99,0.0,0.0,22.99,5.5,17.49,2
ORD-000055,CUST-00022,2024-08-02 00:00:00,2024-08-02,Completed,PayPal,44.0,0.0,4.99,48.99,10.4,33.6,3
ORD-000056,CUST-00023,2024-03-02 00:00:00,2024-03-02,Completed,Credit Card,707.98,35.4,4.99,677.57,304.5,368.08,1
ORD-000057,CUST-00023,2024-04-01 00:00:00,2024-04-01,Completed,Credit Card,22.99,0.0,0.0,22.99,5.5,17.49,2
ORD-000058,CUST-00023,2024-04-30 00:00:00,2024-04-30,Completed,PayPal,68.0,0.0,0.0,68.0,22.0,46.0,3
ORD-000059,CUST-00023,2024-06-11 00:00:00,2024-06-11,Completed,Credit Card,29.99,4.5,0.0,25.49,9.5,15.99,4
ORD-000060,CUST-00024,2025-01-22 00:00:00,2025-01-22,Completed,PayPal,86.99,13.05,4.99,78.93,23.7,50.24,1
ORD-000061,CUST-00024,2025-03-06 00:00:00,2025-03-06,Completed,Credit Card,89.99,9.0,0.0,80.99,36.0,44.99,2
ORD-000062,CUST-00024,2025-05-13 00:00:00,2025-05-13,Completed,PayPal,32.5,1.62,7.99,38.87,10.0,20.88,3
ORD-000063,CUST-00025,2024-07-12 00:00:00,2024-07-12,Completed,Credit Card,730.99,0.0,0.0,730.99,333.0,397.99,1
ORD-000064,CUST-00025,2024-08-14 00:00:00,2024-08-14,Completed,Credit Card,182.99,0.0,0.0,182.99,60.0,122.99,2
ORD-000065,CUST-00025,2024-10-09 00:00:00,2024-10-09,Returned,Credit Card,238.97,23.9,0.0,215.07,75.4,139.67,3
ORD-000066,CUST-00025,2025-01-22 00:00:00,2025-01-22,Completed,Credit Card,64.99,0.0,0.0,64.99,18.5,46.49,4
ORD-000067,CUST-00025,2025-02-24 00:00:00,2025-02-24,Completed,Credit Card,70.0,10.5,0.0,59.5,17.2,42.3,5
ORD-000068,CUST-00025,2025-03-20 00:00:00,2025-03-20,Completed,Credit Card,269.97,0.0,0.0,269.97,108.0,161.97,6
ORD-000069,CUST-00026,2024-02-05 00:00:00,2024-02-05,Completed,PayPal,39.99,4.0,0.0,35.99,14.0,21.99,1
ORD-000070,CUST-00026,2024-02-24 00:00:00,2024-02-24,Completed,Credit Card,179.99,0.0,0.0,179.99,70.0,109.99,2
ORD-000071,CUST-00026,2024-05-02 00:00:00,2024-05-02,Completed,Buy Now Pay Later,159.98000000000002,8.0,9.99,161.97,52.2,99.78,3
ORD-000072,CUST-00027,2024-06-12 00:00:00,2024-06-12,Completed,Credit Card,111.98,0.0,0.0,111.98,37.2,74.78,1
ORD-000073,CUST-00028,2025-06-28 00:00:00,2025-06-28,Completed,Credit Card,39.99,6.0,4.99,38.98,14.0,19.99,1
ORD-000074,CUST-00029,2025-08-10 00:00:00,2025-08-10,Completed,PayPal,29.99,1.5,0.0,28.49,8.0,20.49,1
ORD-000075,CUST-00030,2024-06-02 00:00:00,2024-06-02,Completed,Credit Card,22.99,0.0,0.0,22.99,5.5,17.49,1
ORD-000076,CUST-00030,2024-08-13 00:00:00,2024-08-13,Completed,PayPal,450.95000000000005,0.0,0.0,450.95,171.5,279.45,2
ORD-000077,CUST-00030,2024-09-09 00:00:00,2024-09-09,Completed,Credit Card,132.99,19.95,7.99,121.03,42.0,71.04,3
ORD-000078,CUST-00031,2024-06-08 00:00:00,2024-06-08,Completed,PayPal,56.980000000000004,0.0,0.0,56.98,18.2,38.78,1
ORD-000079,CUST-00032,2024-12-06 00:00:00,2024-12-06,Completed,PayPal,145.0,0.0,0.0,145.0,42.2,102.8,1
ORD-000080,CUST-00033,2025-02-01 00:00:00,2025-02-01,Completed,Buy Now Pay Later,24.99,0.0,0.0,24.99,7.5,17.49,1
ORD-000081,CUST-00033,2025-03-02 00:00:00,2025-03-02,Completed,Credit Card,205.99,30.9,0.0,175.09,76.0,99.09,2
ORD-000082,CUST-00033,2025-05-01 00:00:00,2025-05-01,Completed,Credit Card,66.0,0.0,0.0,66.0,15.6,50.4,3
ORD-000083,CUST-00033,2025-05-20 00:00:00,2025-05-20,Completed,Credit Card,64.99,0.0,7.99,72.98,19.2,45.79,4
ORD-000084,CUST-00033,2025-06-30 00:00:00,2025-06-30,Returned,Buy Now Pay Later,120.0,18.0,0.0,102.0,35.0,67.0,5
ORD-000085,CUST-00033,2025-08-22 00:00:00,2025-08-22,Returned,Credit Card,102.99000000000001,5.15,0.0,97.84,31.0,66.84,6
ORD-000086,CUST-00033,2025-10-16 00:00:00,2025-10-16,Completed,Credit Card,259.98,0.0,0.0,259.98,107.0,152.98,7
ORD-000087,CUST-00034,2024-07-29 00:00:00,2024-07-29,Completed,PayPal,48.0,9.6,0.0,38.4,15.0,23.4,1
ORD-000088,CUST-00035,2025-06-02 00:00:00,2025-06-02,Completed,Credit Card,45.0,0.0,4.99,49.99,11.0,34.0,1
ORD-000089,CUST-00036,2025-06-19 00:00:00,2025-06-19,Completed,Buy Now Pay Later,96.0,0.0,9.99,105.99,30.0,66.0,1
ORD-000090,CUST-00037,2024-09-13 00:00:00,2024-09-13,Completed,Debit Card,89.97999999999999,13.5,0.0,76.48,28.5,47.98,1
ORD-000091,CUST-00038,2025-04-25 00:00:00,2025-04-25,Completed,Credit Card,52.0,5.2,0.0,46.8,12.5,34.3,1
ORD-000092,CUST-00038,2025-06-06 00:00:00,2025-06-06,Completed,PayPal,99.98,0.0,4.99,104.97,34.0,65.98,2
ORD-000093,CUST-00038,2025-07-14 00:00:00,2025-07-14,Completed,Debit Card,399.98,20.0,0.0,379.98,193.0,186.98,3
ORD-000094,CUST-00039,2024-05-05 00:00:00,2024-05-05,Completed,Credit Card,199.99,0.0,0.0,199.99,85.0,114.99,1
ORD-000095,CUST-00039,2024-05-11 00:00:00,2024-05-11,Completed,Credit Card,75.0,0.0,9.99,84.99,24.0,51.0,2
ORD-000096,CUST-00039,2024-08-11 00:00:00,2024-08-11,Completed,PayPal,34.0,0.0,0.0,34.0,8.5,25.5,3
ORD-000097,CUST-00040,2025-02-01 00:00:00,2025-02-01,Completed,Debit Card,199.99,0.0,0.0,199.99,85.0,114.99,1
ORD-000098,CUST-00041,2024-04-26 00:00:00,2024-04-26,Completed,PayPal,199.99,10.0,0.0,189.99,85.0,104.99,1
ORD-000099,CUST-00041,2024-05-12 00:00:00,2024-05-12,Completed,Debit Card,24.99,0.0,0.0,24.99,7.5,17.49,2
ORD-000100,CUST-00041,2024-06-01 00:00:00,2024-06-01,Completed,Credit Card,67.99000000000001,0.0,0.0,67.99,22.5,45.49,3
ORD-000101,CUST-00041,2024-08-04 00:00:00,2024-08-04,Completed,PayPal,90.0,0.0,0.0,90.0,30.0,60.0,4
ORD-000102,CUST-00041,2024-08-31 00:00:00,2024-08-31,Completed,Credit Card,18.0,0.9,4.99,22.09,4.0,13.1,5
ORD-000103,CUST-00041,2024-09-26 00:00:00,2024-09-26,Completed,PayPal,29.99,0.0,0.0,29.99,8.0,21.99,6
ORD-000104,CUST-00042,2024-03-11 00:00:00,2024-03-11,Completed,PayPal,24.99,0.0,0.0,24.99,7.5,17.49,1
ORD-000105,CUST-00042,2024-04-21 00:00:00,2024-04-21,Completed,Credit Card,337.98,0.0,9.99,347.97,112.0,225.98,2
ORD-000106,CUST-00043,2024-02-24 00:00:00,2024-02-24,Returned,Credit Card,45.0,0.0,0.0,45.0,15.0,30.0,1
ORD-000107,CUST-00044,2025-02-06 00:00:00,2025-02-06,Completed,PayPal,22.99,0.0,7.99,30.98,5.5,17.49,1
ORD-000108,CUST-00045,2024-10-04 00:00:00,2024-10-04,Completed,PayPal,49.98,0.0,0.0,49.98,15.0,34.98,1
ORD-000109,CUST-00046,2024-03-26 00:00:00,2024-03-26,Completed,PayPal,45.0,0.0,0.0,45.0,15.0,30.0,1
ORD-000110,CUST-00046,2024-06-26 00:00:00,2024-06-26,Completed,PayPal,199.99,0.0,4.99,204.98,85.0,114.99,2
ORD-000111,CUST-00047,2025-04-23 00:00:00,2025-04-23,Completed,Credit Card,543.98,0.0,0.0,543.98,239.0,304.98,1
ORD-000112,CUST-00048,2025-01-28 00:00:00,2025-01-28,Completed,PayPal,79.0,0.0,4.99,83.99,23.5,55.5,1
ORD-000113,CUST-00049,2024-07-30 00:00:00,2024-07-30,Completed,Credit Card,179.99,0.0,0.0,179.99,70.0,109.99,1
ORD-000114,CUST-00050,2024-07-16 00:00:00,2024-07-16,Completed,Credit Card,498.99,0.0,9.99,508.98,208.0,290.99,1
ORD-000115,CUST-00051,2025-04-23 00:00:00,2025-04-23,Completed,Credit Card,76.0,0.0,0.0,76.0,23.5,52.5,1
ORD-000116,CUST-00052,2025-05-24 00:00:00,2025-05-24,Completed,Credit Card,143.97,0.0,7.99,151.96,44.5,99.47,1
ORD-000117,CUST-00052,2025-06-29 00:00:00,2025-06-29,Completed,Credit Card,106.99,0.0,4.99,111.98,34.0,72.99,2
ORD-000118,CUST-00053,2025-03-05 00:00:00,2025-03-05,Completed,PayPal,29.99,0.0,0.0,29.99,9.5,20.49,1
ORD-000119,CUST-00054,2024-07-18 00:00:00,2024-07-18,Completed,PayPal,59.99,0.0,7.99,67.98,20.0,39.99,1
ORD-000120,CUST-00055,2025-01-17 00:00:00,2025-01-17,Cancelled,Credit Card,79.98,0.0,9.99,89.97,28.0,51.98,1
ORD-000121,CUST-00056,2025-09-28 00:00:00,2025-09-28,Completed,Credit Card,48.0,9.6,0.0,38.4,15.0,23.4,1
ORD-000122,CUST-00057,2025-03-11 00:00:00,2025-03-11,Completed,Buy Now Pay Later,18.0,2.7,0.0,15.3,4.0,11.3,1
ORD-000123,CUST-00058,2024-08-27 00:00:00,2024-08-27,Completed,Buy Now Pay Later,389.98,0.0,7.99,397.97,189.0,200.98,1
ORD-000124,CUST-00058,2024-10-02 00:00:00,2024-10-02,Completed,Buy Now Pay Later,77.99,3.9,4.99,79.08,23.0,51.09,2
ORD-000125,CUST-00058,2024-11-06 00:00:00,2024-11-06,Cancelled,Buy Now Pay Later,76.98,3.85,9.99,83.12,26.2,46.93,3
ORD-000126,CUST-00058,2024-12-08 00:00:00,2024-12-08,Completed,PayPal,107.99,10.8,0.0,97.19,40.0,57.19,4
ORD-000127,CUST-00058,2025-01-03 00:00:00,2025-01-03,Completed,Credit Card,18.0,1.8,0.0,16.2,4.0,12.2,5
ORD-000128,CUST-00058,2025-03-17 00:00:00,2025-03-17,Completed,PayPal,114.96,0.0,0.0,114.96,31.5,83.46,6
ORD-000129,CUST-00059,2024-07-17 00:00:00,2024-07-17,Completed,PayPal,124.97,0.0,4.99,129.96,40.0,84.97,1
ORD-000130,CUST-00059,2024-09-12 00:00:00,2024-09-12,Completed,Credit Card,68.0,10.2,0.0,57.8,22.0,35.8,2
ORD-000131,CUST-00059,2024-11-09 00:00:00,2024-11-09,Completed,Buy Now Pay Later,429.97,85.99,0.0,343.98,178.0,165.98,3
ORD-000132,CUST-00059,2025-02-04 00:00:00,2025-02-04,Completed,PayPal,482.97,48.3,0.0,434.67,195.0,239.67,4
ORD-000133,CUST-00059,2025-02-25 00:00:00,2025-02-25,Completed,Credit Card,16.99,0.0,0.0,16.99,4.2,12.79,5
ORD-000134,CUST-00059,2025-05-05 00:00:00,2025-05-05,Completed,Credit Card,24.0,0.0,7.99,31.99,6.0,18.0,6
ORD-000135,CUST-00060,2024-04-02 00:00:00,2024-04-02,Completed,Credit Card,179.99,0.0,0.0,179.99,62.0,117.99,1
ORD-000136,CUST-00060,2024-05-10 00:00:00,2024-05-10,Completed,Buy Now Pay Later,289.0,0.0,0.0,289.0,130.0,159.0,2
ORD-000137,CUST-00060,2024-06-01 00:00:00,2024-06-01,Returned,Buy Now Pay Later,32.5,0.0,9.99,42.49,10.0,22.5,3
ORD-000138,CUST-00060,2024-06-21 00:00:00,2024-06-21,Completed,PayPal,26.0,3.9,0.0,22.1,6.0,16.1,4
ORD-000139,CUST-00060,2024-07-24 00:00:00,2024-07-24,Completed,Credit Card,45.98,0.0,0.0,45.98,11.0,34.98,5
ORD-000140,CUST-00060,2024-09-15 00:00:00,2024-09-15,Completed,Credit Card,120.0,0.0,0.0,120.0,42.0,78.0,6
ORD-000141,CUST-00060,2024-10-05 00:00:00,2024-10-05,Completed,Credit Card,22.0,0.0,0.0,22.0,5.2,16.8,7
ORD-000142,CUST-00061,2025-04-24 00:00:00,2025-04-24,Completed,PayPal,104.99000000000001,0.0,0.0,104.99,37.0,67.99,1
ORD-000143,CUST-00062,2025-01-26 00:00:00,2025-01-26,Completed,Credit Card,29.99,0.0,0.0,29.99,9.5,20.49,1
ORD-000144,CUST-00062,2025-04-15 00:00:00,2025-04-15,Completed,Credit Card,64.99,0.0,0.0,64.99,21.0,43.99,2
ORD-000145,CUST-00062,2025-05-23 00:00:00,2025-05-23,Completed,Credit Card,32.5,0.0,0.0,32.5,10.0,22.5,3
ORD-000146,CUST-00062,2025-06-27 00:00:00,2025-06-27,Completed,Credit Card,114.97999999999999,0.0,0.0,114.98,39.0,75.98,4
ORD-000147,CUST-00062,2025-08-27 00:00:00,2025-08-27,Completed,Credit Card,120.0,0.0,9.99,129.99,29.0,91.0,5
ORD-000148,CUST-00062,2025-10-28 00:00:00,2025-10-28,Completed,Credit Card,179.99,0.0,0.0,179.99,70.0,109.99,6
ORD-000149,CUST-00062,2025-11-28 00:00:00,2025-11-28,Completed,Debit Card,86.0,12.9,0.0,73.1,26.0,47.1,7
ORD-000150,CUST-00063,2024-12-12 00:00:00,2024-12-12,Cancelled,PayPal,237.49,47.5,0.0,189.99,71.5,118.49,1
ORD-000151,CUST-00063,2025-01-18 00:00:00,2025-01-18,Completed,PayPal,762.99,76.3,0.0,686.69,323.0,363.69,2
ORD-000152,CUST-00063,2025-04-01 00:00:00,2025-04-01,Completed,PayPal,39.99,0.0,4.99,44.98,12.0,27.99,3
ORD-000153,CUST-00064,2024-03-28 00:00:00,2024-03-28,Completed,PayPal,24.99,3.75,4.99,26.23,7.5,13.74,1
ORD-000154,CUST-00065,2025-10-09 00:00:00,2025-10-09,Completed,Credit Card,289.0,28.9,0.0,260.1,130.0,130.1,1
ORD-000155,CUST-00065,2025-11-06 00:00:00,2025-11-06,Cancelled,Credit Card,144.97,0.0,0.0,144.97,47.5,97.47,2
ORD-000156,CUST-00065,2025-12-14 00:00:00,2025-12-14,Completed,PayPal,204.97,0.0,0.0,204.97,70.2,134.77,3
ORD-000157,CUST-00066,2024-09-28 00:00:00,2024-09-28,Completed,Credit Card,34.0,1.7,0.0,32.3,8.5,23.8,1
ORD-000158,CUST-00067,2025-01-04 00:00:00,2025-01-04,Completed,PayPal,150.0,30.0,0.0,120.0,45.0,75.0,1
ORD-000159,CUST-00068,2024-07-15 00:00:00,2024-07-15,Completed,Credit Card,289.0,43.35,0.0,245.65,130.0,115.65,1
ORD-000160,CUST-00069,2024-12-20 00:00:00,2024-12-20,Completed,PayPal,80.0,0.0,4.99,84.99,22.0,58.0,1
ORD-000161,CUST-00070,2025-07-11 00:00:00,2025-07-11,Completed,Credit Card,429.97,0.0,0.0,429.97,179.5,250.47,1
ORD-000162,CUST-00071,2024-07-30 00:00:00,2024-07-30,Completed,Buy Now Pay Later,259.98,13.0,4.99,251.97,107.0,139.98,1
ORD-000163,CUST-00071,2024-10-06 00:00:00,2024-10-06,Completed,Credit Card,29.99,1.5,0.0,28.49,9.5,18.99,2
ORD-000164,CUST-00071,2024-11-24 00:00:00,2024-11-24,Completed,Credit Card,286.98,14.35,0.0,272.63,109.4,163.23,3
ORD-000165,CUST-00072,2025-05-20 00:00:00,2025-05-20,Completed,Credit Card,409.98,41.0,9.99,378.97,197.0,171.98,1
ORD-000166,CUST-00072,2025-07-23 00:00:00,2025-07-23,Completed,Debit Card,99.98,0.0,0.0,99.98,36.0,63.98,2
ORD-000167,CUST-00072,2025-08-18 00:00:00,2025-08-18,Completed,Buy Now Pay Later,89.99,9.0,4.99,85.98,36.0,44.99,3
ORD-000168,CUST-00073,2024-05-29 00:00:00,2024-05-29,Completed,Buy Now Pay Later,22.99,0.0,0.0,22.99,5.5,17.49,1
ORD-000169,CUST-00074,2024-03-05 00:00:00,2024-03-05,Completed,Credit Card,289.97,0.0,0.0,289.97,115.0,174.97,1
ORD-000170,CUST-00075,2025-11-15 00:00:00,2025-11-15,Completed,Buy Now Pay Later,157.99,31.6,0.0,126.39,58.0,68.39,1
ORD-000171,CUST-00076,2024-11-16 00:00:00,2024-11-16,Completed,Credit Card,66.0,9.9,0.0,56.1,19.0,37.1,1
ORD-000172,CUST-00077,2025-01-12 00:00:00,2025-01-12,Returned,Credit Card,192.99,0.0,0.0,192.99,55.0,137.99,1
ORD-000173,CUST-00078,2024-08-12 00:00:00,2024-08-12,Cancelled,PayPal,39.99,0.0,0.0,39.99,12.0,27.99,1
ORD-000174,CUST-00079,2024-03-13 00:00:00,2024-03-13,Completed,PayPal,207.49,41.5,4.99,170.98,66.0,99.99,1
ORD-000175,CUST-00080,2024-07-31 00:00:00,2024-07-31,Completed,Credit Card,120.0,0.0,7.99,127.99,42.0,78.0,1
ORD-000176,CUST-00081,2025-04-23 00:00:00,2025-04-23,Completed,PayPal,122.49,6.12,7.99,124.36,46.0,70.37,1
ORD-000177,CUST-00082,2025-05-14 00:00:00,2025-05-14,Completed,PayPal,89.97,17.99,9.99,81.97,27.0,44.98,1
ORD-000178,CUST-00083,2025-07-14 00:00:00,2025-07-14,Completed,Buy Now Pay Later,32.5,4.88,0.0,27.62,10.0,17.62,1
ORD-000179,CUST-00084,2024-03-08 00:00:00,2024-03-08,Completed,Credit Card,159.99,0.0,0.0,159.99,56.0,103.99,1
ORD-000180,CUST-00085,2024-09-20 00:00:00,2024-09-20,Completed,Credit Card,45.0,6.75,0.0,38.25,11.0,27.25,1
ORD-000181,CUST-00086,2024-09-30 00:00:00,2024-09-30,Completed,Debit Card,28.0,0.0,0.0,28.0,8.5,19.5,1
ORD-000182,CUST-00087,2024-09-20 00:00:00,2024-09-20,Completed,Credit Card,32.5,6.5,0.0,26.0,10.0,16.0,1
ORD-000183,CUST-00088,2024-12-31 00:00:00,2024-12-31,Completed,Credit Card,309.96000000000004,31.0,0.0,278.96,111.5,167.46,1
ORD-000184,CUST-00089,2024-10-05 00:00:00,2024-10-05,Completed,PayPal,87.99000000000001,4.4,0.0,83.59,29.0,54.59,1
ORD-000185,CUST-00090,2025-01-20 00:00:00,2025-01-20,Completed,Credit Card,334.0,50.1,0.0,283.9,145.0,138.9,1
ORD-000186,CUST-00091,2025-05-26 00:00:00,2025-05-26,Cancelled,Credit Card,64.99,6.5,0.0,58.49,21.0,37.49,1
ORD-000187,CUST-00092,2024-05-13 00:00:00,2024-05-13,Completed,PayPal,289.0,0.0,7.99,296.99,130.0,159.0,1
ORD-000188,CUST-00093,2025-03-09 00:00:00,2025-03-09,Returned,Buy Now Pay Later,112.99,0.0,7.99,120.98,36.0,76.99,1
ORD-000189,CUST-00093,2025-06-22 00:00:00,2025-06-22,Completed,Credit Card,18.0,0.0,0.0,18.0,4.0,14.0,2
ORD-000190,CUST-00093,2025-07-14 00:00:00,2025-07-14,Completed,Credit Card,289.0,0.0,0.0,289.0,130.0,159.0,3
ORD-000191,CUST-00093,2025-09-02 00:00:00,2025-09-02,Completed,PayPal,84.0,16.8,0.0,67.2,26.0,41.2,4
ORD-000192,CUST-00093,2025-10-10 00:00:00,2025-10-10,Completed,Credit Card,22.99,2.3,0.0,20.69,5.5,15.19,5
ORD-000193,CUST-00094,2024-07-21 00:00:00,2024-07-21,Completed,PayPal,103.0,0.0,0.0,103.0,32.5,70.5,1
ORD-000194,CUST-00095,2025-03-17 00:00:00,2025-03-17,Completed,PayPal,199.99,0.0,0.0,199.99,85.0,114.99,1
ORD-000195,CUST-00096,2024-05-19 00:00:00,2024-05-19,Completed,Credit Card,58.0,0.0,0.0,58.0,14.5,43.5,1
